date,to_aogashima,from_aogashima,max_wind
2021/03/04 (木),,,東北東 8.5
2021/03/05 (金),,,東 6.6
2021/03/06 (土),,,北東 11.0
2021/03/07 (日),,,北東 13.0
2021/03/08 (月),,,東南東 7.1
2021/03/09 (火),,,北東 8.4
2021/03/10 (水),,,西 6.3
2021/03/11 (木),,,北東 7.2
2021/03/12 (金),,,南南西 6.5
2021/03/13 (土),,,南 10.5
2021/03/14 (日),,,西 10.6
2021/03/15 (月),,,西 7.5
2021/03/16 (火),,,西南西 9.0
2021/03/17 (水),,,西南西 8.1
2021/03/18 (木),,,東北東 7.6
2021/03/19 (金),,,南 5.7
2021/03/20 (土),,,東 4.8
2021/03/21 (日),,,南 11.5
2021/03/22 (月),,,西 7.9
2021/03/23 (火),,,北西 6.0
2021/03/24 (水),,,南西 4.2
2021/03/25 (木),,,北東 7.0
2021/03/26 (金),,,西 8.5
2021/03/27 (土),,,東 8.0
2021/03/28 (日),,,南 10.2
2021/03/29 (月),,,南南西 12.6
2021/03/30 (火),,,西南西 6.4
2021/03/31 (水),,,東北東 7.5
2021/04/01 (木),,,北東 7.9
2021/04/02 (金),,,東北東 11.0
2021/04/03 (土),,,東 8.6
2021/04/04 (日),,,南南西 6.5
2021/04/05 (月),,,北東 14.2
2021/04/06 (火),,,北東 13.7
2021/04/07 (水),,,北北東 6.5
2021/04/08 (木),,,西南西 6.2
2021/04/09 (金),,,西 6.8
2021/04/10 (土),,,北東 11.4
2021/04/11 (日),,,東北東 10.3
2021/04/12 (月),,,東北東 10.2
2021/04/13 (火),,,南 8.0
2021/04/14 (水),,,南 8.7
2021/04/15 (木),,,北東 11.7
2021/04/16 (金),,,東北東 8.8
2021/04/17 (土),,,南 11.0
2021/04/18 (日),,,西 9.7
2021/04/19 (月),,,西 9.7
2021/04/20 (火),,,西南西 6.3
2021/04/21 (水),,,東北東 7.3
2021/04/22 (木),,,東北東 9.9
2021/04/23 (金),,,北東 11.5
2021/04/24 (土),,,東北東 9.7
2021/04/25 (日),,,西南西 4.7
2021/04/26 (月),,,北東 14.4
2021/04/27 (火),,,南 5.2
2021/04/28 (水),,,南南西 5.7
2021/04/29 (木),,,南南西 9.4
2021/04/30 (金),,,西南西 10.9
2021/05/01 (土),,,南西 7.9
2021/05/02 (日),,,西 12.4
2021/05/03 (月),,,西 8.1
2021/05/04 (火),,,西 7.1
2021/05/05 (水),,,南 7.2
2021/05/06 (木),,,南 9.1
2021/05/07 (金),,,南西 8.8
2021/05/08 (土),,,南西 10.7
2021/05/09 (日),,,西 8.8
2021/05/10 (月),,,西 6.7
2021/05/11 (火),,,西南西 4.8
2021/05/12 (水),,,東北東 11.3
2021/05/13 (木),,,東南東 13.4
2021/05/14 (金),,,北東 9.3
2021/05/15 (土),,,東 7.2
2021/05/16 (日),,,南南東 7.5
2021/05/17 (月),,,南南西 7.3
2021/05/18 (火),,,西南西 7.3
2021/05/19 (水),,,南西 6.6
2021/05/20 (木),,,南南西 7.6
2021/05/21 (金),,,南南西 7.2
2021/05/22 (土),,,西 7.8
2021/05/23 (日),,,西 6.9
2021/05/24 (月),,,南 8.0
2021/05/25 (火),,,西南西 8.9
2021/05/26 (水),,,西 9.1
2021/05/27 (木),,,西南西 11.1
2021/05/28 (金),,,西 8.3
2021/05/29 (土),,,南西 6.2
2021/05/30 (日),,,西 4.9
2021/05/31 (月),,,北東 6.7
2021/06/01 (火),,,東 6.6
2021/06/02 (水),,,東 6.9
2021/06/03 (木),,,東北東 9.5
2021/06/04 (金),,,南 10.5
2021/06/05 (土),,,南西 6.9
2021/06/06 (日),,,南南西 7.8
2021/06/07 (月),,,東北東 3.9
2021/06/08 (火),,,西南西 4.3
2021/06/09 (水),,,東北東 11.2
2021/06/10 (木),,,北東 7.6
2021/06/11 (金),,,北東 6.8
2021/06/12 (土),,,南南東 5.5
2021/06/13 (日),,,南南東 7.2
2021/06/14 (月),,,南南東 5.9
2021/06/15 (火),,,北東 5.4
2021/06/16 (水),,,東 9.7
2021/06/17 (木),,,東北東 10.3
2021/06/18 (金),,,東北東 4.8
2021/06/19 (土),,,南南東 10.2
2021/06/20 (日),,,南南西 9.5
2021/06/21 (月),,,北東 5.4
2021/06/22 (火),,,東北東 7.0
2021/06/23 (水),,,東北東 8.7
2021/06/24 (木),,,北東 5.6
2021/06/25 (金),,,北東 7.0
2021/06/26 (土),,,北東 6.6
2021/06/27 (日),,,東北東 8.6
2021/06/28 (月),,,北東 7.7
2021/06/29 (火),,,南 12.7
2021/06/30 (水),,,北東 8.6
2021/07/01 (木),,,南 8.9
2021/07/02 (金),,,南南西 8.4
2021/07/03 (土),,,南南西 7.4
2021/07/04 (日),,,南西 4.8
2021/07/05 (月),,,西南西 6.4
2021/07/06 (火),,,西 6.6
2021/07/07 (水),,,西南西 6.1
2021/07/08 (木),,,南西 5.0
2021/07/09 (金),,,南西 6.0
2021/07/10 (土),,,南西 6.4
2021/07/11 (日),,,南西 5.6
2021/07/12 (月),,,南南西 4.8
2021/07/13 (火),,,西 5.7
2021/07/14 (水),,,西南西 4.2
2021/07/15 (木),,,東 6.8
2021/07/16 (金),,,東 6.7
2021/07/17 (土),,,東 6.8
2021/07/18 (日),,,南 4.3
2021/07/19 (月),,,北東 5.6
2021/07/20 (火),,,北東 6.8
2021/07/21 (水),,,東 6.1
2021/07/22 (木),,,北東 6.2
2021/07/23 (金),,,北東 6.6
2021/07/24 (土),,,東北東 7.7
2021/07/25 (日),,,東北東 9.6
2021/07/26 (月),,,北北東 8.2
2021/07/27 (火),,,西 7.2
2021/07/28 (水),,,南西 5.5
2021/07/29 (木),,,南南東 5.0
2021/07/30 (金),,,北東 5.3
2021/07/31 (土),,,北北東 5.9
2021/08/01 (日),,,南東 3.5
2021/08/02 (月),,,東 10.8
2021/08/03 (火),,,南西 5.0
2021/08/04 (水),,,東北東 7.0
2021/08/05 (木),,,北東 9.7
2021/08/06 (金),,,東北東 6.7
2021/08/07 (土),,,東 10.9
2021/08/08 (日),,,西 11.0
2021/08/09 (月),,,南西 9.3
2021/08/10 (火),,,南西 9.7
2021/08/11 (水),,,西南西 6.3
2021/08/12 (木),,,西 6.1
2021/08/13 (金),,,南南西 5.8
2021/08/14 (土),,,南西 7.2
2021/08/15 (日),,,南西 7.7
2021/08/16 (月),,,西 7.3
2021/08/17 (火),,,南 6.3
2021/08/18 (水),,,南 6.6
2021/08/19 (木),,,南 5.5
2021/08/20 (金),,,南南東 4.9
2021/08/21 (土),,,南 4.0
2021/08/22 (日),,,西南西 5.8
2021/08/23 (月),,,西 7.2
2021/08/24 (火),,,西 5.4
2021/08/25 (水),,,西南西 7.4
2021/08/26 (木),,,西 7.3
2021/08/27 (金),,,西 6.2
2021/08/28 (土),,,西南西 5.5
2021/08/29 (日),,,西 5.6
2021/08/30 (月),,,西南西 4.7
2021/08/31 (火),,,南西 5.2
2021/09/01 (水),,,西南西 6.0
2021/09/02 (木),,,西 7.0
2021/09/03 (金),,,西南西 5.1
2021/09/04 (土),,,南東 7.9
2021/09/05 (日),,,西 8.7
2021/09/06 (月),,,北東 9.5
2021/09/07 (火),,,北東 9.9
2021/09/08 (水),,,南 4.8
2021/09/09 (木),,,南南東 8.6
2021/09/10 (金),,,北東 3.2
2021/09/11 (土),,,東 4.5
2021/09/12 (日),,,西南西 4.0
2021/09/13 (月),,,北東 9.2
2021/09/14 (火),,,東 5.2
2021/09/15 (水),,,東北東 14.1
2021/09/16 (木),,,東北東 9.4
2021/09/17 (金),,,南 7.6
2021/09/18 (土),,,南 9.3
2021/09/19 (日),,,北東 12.2
2021/09/20 (月),,,北東 12.8
2021/09/21 (火),,,北東 9.0
2021/09/22 (水),,,南 6.3
2021/09/23 (木),,,西 5.4
2021/09/24 (金),,,北北東 4.1
2021/09/25 (土),,,東 11.1
2021/09/26 (日),,,北東 11.5
2021/09/27 (月),,,東北東 12.7
2021/09/28 (火),,,北東 9.0
2021/09/29 (水),,,東北東 8.1
2021/09/30 (木),,,東北東 14.2
2021/10/01 (金),,,北北東 20.8
2021/10/02 (土),,,西 4.6
2021/10/03 (日),,,東北東 8.5
2021/10/04 (月),,,東 7.6
2021/10/05 (火),,,東北東 3.8
2021/10/06 (水),,,西南西 5.7
2021/10/07 (木),,,東 5.4
2021/10/08 (金),,,北東 4.1
2021/10/09 (土),,,東北東 8.2
2021/10/10 (日),,,東 8.4
2021/10/11 (月),,,南東 3.6
2021/10/12 (火),,,東北東 3.9
2021/10/13 (水),,,北東 8.1
2021/10/14 (木),,,北東 9.2
2021/10/15 (金),,,東南東 5.9
2021/10/16 (土),,,南西 6.0
2021/10/17 (日),,,北東 14.8
2021/10/18 (月),,,北東 14.3
2021/10/19 (火),,,東北東 15.8
2021/10/20 (水),,,西 8.2
2021/10/21 (木),,,東北東 8.1
2021/10/22 (金),,,北北東 10.6
2021/10/23 (土),,,北東 8.4
2021/10/24 (日),,,東北東 8.5
2021/10/25 (月),,,東北東 15.1
2021/10/26 (火),,,北東 15.0
2021/10/27 (水),,,南南東 4.8
2021/10/28 (木),,,北東 10.6
2021/10/29 (金),,,北東 14.8
2021/10/30 (土),,,東北東 6.7
2021/10/31 (日),,,東南東 6.9
2021/11/01 (月),,,東 7.5
2021/11/02 (火),,,南東 5.6
2021/11/03 (水),,,東北東 7.4
2021/11/04 (木),,,北北東 7.3
2021/11/05 (金),,,北東 7.9
2021/11/06 (土),,,東北東 7.9
2021/11/07 (日),,,東北東 9.8
2021/11/08 (月),,,東北東 12.9
2021/11/09 (火),,,東 10.2
2021/11/10 (水),,,西 11.6
2021/11/11 (木),,,西 10.1
2021/11/12 (金),,,西 10.1
2021/11/13 (土),,,西 9.1
2021/11/14 (日),,,西南西 4.3
2021/11/15 (月),,,西北西 4.8
2021/11/16 (火),,,西北西 5.6
2021/11/17 (水),,,北東 8.2
2021/11/18 (木),,,南東 5.6
2021/11/19 (金),,,東北東 3.2
2021/11/20 (土),,,北東 8.6
2021/11/21 (日),,,東 8.6
2021/11/22 (月),,,南南西 10.9
2021/11/23 (火),,,西 9.5
2021/11/24 (水),,,西 10.1
2021/11/25 (木),,,西 9.8
2021/11/26 (金),,,西 8.5
2021/11/27 (土),,,西北西 7.7
2021/11/28 (日),,,北東 8.5
2021/11/29 (月),,,東北東 3.3
2021/11/30 (火),,,南南西 10.0
2021/12/01 (水),,,南 12.7
2021/12/02 (木),,,西 8.6
2021/12/03 (金),,,西 5.8
2021/12/04 (土),,,西 7.5
2021/12/05 (日),,,東北東 10.9
2021/12/06 (月),,,東北東 12.6
2021/12/07 (火),,,北東 12.2
2021/12/08 (水),,,北北東 12.3
2021/12/09 (木),,,北北東 11.0
2021/12/10 (金),,,北北東 9.2
2021/12/11 (土),,,西北西 4.6
2021/12/12 (日),,,西 11.1
2021/12/13 (月),,,西 10.0
2021/12/14 (火),,,西 6.8
2021/12/15 (水),,,西 7.0
2021/12/16 (木),,,西 5.7
2021/12/17 (金),,,西 14.0
2021/12/18 (土),,,西 12.8
2021/12/19 (日),,,西 8.6
2021/12/20 (月),,,西 7.4
2021/12/21 (火),,,西 9.6
2021/12/22 (水),,,西 7.1
2021/12/23 (木),,,北東 7.5
2021/12/24 (金),,,南西 5.7
2021/12/25 (土),,,西 10.2
2021/12/26 (日),,,西 11.8
2021/12/27 (月),×,×,西 8.0
2021/12/28 (火),×,×,西 9.5
2021/12/29 (水),,,西南西 6.5
2021/12/30 (木),,,西 10.1
2021/12/31 (金),,,西 11.1
2022/01/01 (土),,,西北西 8.1
2022/01/02 (日),,,西 7.6
2022/01/03 (月),,,
2022/01/04 (火),,,
2022/01/05 (水),×,×,西北西 7.3
2022/01/06 (木),,,北北東 8.0
2022/01/07 (金),×,×,北 7.1
2022/01/08 (土),,,西 5.7
2022/01/09 (日),,,西 6.2
2022/01/10 (月),×,×,東北東 8.1
2022/01/11 (火),×,×,西 11.6
2022/01/12 (水),,,西 10.7
2022/01/13 (木),,,西 12.4
2022/01/14 (金),×,×,西 9.6
2022/01/15 (土),×,×,西 7.4
2022/01/16 (日),〇,〇,西 6.4
2022/01/17 (月),×,×,西 8.8
2022/01/18 (火),×,×,西 9.2
2022/01/19 (水),×,×,西北西 6.4
2022/01/20 (木),,,西 8.7
2022/01/21 (金),×,×,北東 6.5
2022/01/22 (土),〇,,北東 6.0
2022/01/23 (日),,,西 6.7
2022/01/24 (月),×,×,北東 11.8
2022/01/25 (火),〇,〇,東 8.1
2022/01/26 (水),,,南南東 7.9
2022/01/27 (木),,,西 6.6
2022/01/28 (金),〇,〇,西 6.3
2022/01/29 (土),〇,〇,西 5.9
2022/01/30 (日),,,北西 5.3
2022/01/31 (月),〇,〇,北東 6.4
2022/02/01 (火),×,×,西 11.0
2022/02/02 (水),×,×,西 9.0
2022/02/03 (木),,,西 7.4
2022/02/04 (金),〇,〇,西 7.1
2022/02/05 (土),×,×,西 9.8
2022/02/06 (日),,,西 8.4
2022/02/07 (月),×,×,西北西 7.2
2022/02/08 (火),〇,〇,西 5.5
2022/02/09 (水),,,東北東 11.4
2022/02/10 (木),,,東 11.3
2022/02/11 (金),,,北東 9.2
2022/02/12 (土),〇,〇,東北東 8.6
2022/02/13 (日),,,南 8.1
2022/02/14 (月),×,×,北北東 14.3
2022/02/15 (火),〇,〇,西 11.7
2022/02/16 (水),×,×,西 12.9
2022/02/17 (木),,,西 10.1
2022/02/18 (金),×,×,西北西 6.7
2022/02/19 (土),〇,〇,南 9.1
2022/02/20 (日),,,西 9.7
2022/02/21 (月),×,×,西 10.5
2022/02/22 (火),×,×,西 9.9
2022/02/23 (水),,,西 7.2
2022/02/24 (木),,,西 6.7
2022/02/25 (金),〇,〇,西 7.2
2022/02/26 (土),〇,〇,西 7.6
2022/02/27 (日),,,西 10.8
2022/02/28 (月),×,×,西 7.7
2022/03/01 (火),〇,〇,南西 8.8
2022/03/02 (水),×,×,西南西 10.2
2022/03/03 (木),,,西 8.2
2022/03/04 (金),〇,〇,西 6.6
2022/03/05 (土),〇,〇,西 10.7
2022/03/06 (日),,,西 10.6
2022/03/07 (月),×,×,西北西 7.9
2022/03/08 (火),〇,〇,西 5.7
2022/03/09 (水),,,北東 8.4
2022/03/10 (木),,,北東 8.1
2022/03/11 (金),〇,〇,西南西 7.4
2022/03/12 (土),〇,〇,西 8.7
2022/03/13 (日),,,南西 6.6
2022/03/14 (月),×,×,南西 7.5
2022/03/15 (火),×,×,南西 7.9
2022/03/16 (水),〇,〇,西 6.2
2022/03/17 (木),,,西 5.8
2022/03/18 (金),〇,〇,南 11.3
2022/03/19 (土),×,×,西 11.7
2022/03/20 (日),,,西 7.1
2022/03/21 (月),〇,〇,西北西 6.7
2022/03/22 (火),×,×,北東 15.0
2022/03/23 (水),,,北東 13.0
2022/03/24 (木),,,北北東 6.9
2022/03/25 (金),〇,〇,東 7.6
2022/03/26 (土),×,×,南 11.4
2022/03/27 (日),×,×,南 10.6
2022/03/28 (月),×,×,西北西 5.7
2022/03/29 (火),〇,〇,東北東 9.1
2022/03/30 (水),,,東 8.0
2022/03/31 (木),,,西南西 6.5
2022/04/01 (金),×,×,北東 14.8
2022/04/02 (土),〇,〇,東北東 9.8
2022/04/03 (日),,,東 10.2
2022/04/04 (月),×,×,北 9.0
2022/04/05 (火),,,北 7.8
2022/04/06 (水),,,西南西 4.4
2022/04/07 (木),,,西南西 5.9
2022/04/08 (金),〇,,西 7.8
2022/04/09 (土),〇,〇,南西 4.6
2022/04/10 (日),,,南西 4.6
2022/04/11 (月),〇,〇,南南東 5.1
2022/04/12 (火),〇,〇,南西 4.0
2022/04/13 (水),,,西南西 4.5
2022/04/14 (木),,,北東 8.1
2022/04/15 (金),×,×,北東 11.3
2022/04/16 (土),,,北北東 11.2
2022/04/17 (日),,,東 10.2
2022/04/18 (月),〇,,東 7.7
2022/04/19 (火),〇,〇,東北東 6.8
2022/04/20 (水),,,南南東 7.0
2022/04/21 (木),,,南 8.5
2022/04/22 (金),×,×,南 10.2
2022/04/23 (土),×,×,西南西 7.2
2022/04/24 (日),〇,〇,南南西 7.6
2022/04/25 (月),,,西南西 5.3
2022/04/26 (火),〇,〇,南南西 7.6
2022/04/27 (水),×,×,南南西 8.2
2022/04/28 (木),,,北東 8.2
2022/04/29 (金),〇,〇,西南西 12.2
2022/04/30 (土),×,×,北東 12.5
2022/05/01 (日),,,南南東 6.8
2022/05/02 (月),〇,〇,西 5.3
2022/05/03 (火),〇,〇,西北西 5.9
2022/05/04 (水),,,南西 4.5
2022/05/05 (木),,,南西 3.6
2022/05/06 (金),〇,〇,東 6.7
2022/05/07 (土),×,×,東 12.5
2022/05/08 (日),,,南東 4.8
2022/05/09 (月),〇,〇,南南東 6.1
2022/05/10 (火),〇,〇,北東 8.5
2022/05/11 (水),〇,〇,東北東 6.9
2022/05/12 (木),,,東北東 6.5
2022/05/13 (金),〇,〇,南南西 8.9
2022/05/14 (土),×,×,南西 10.3
2022/05/15 (日),,,西 5.7
2022/05/16 (月),〇,〇,北東 8.5
2022/05/17 (火),〇,〇,東北東 6.3
2022/05/18 (水),,,東北東 6.0
2022/05/19 (木),,,東北東 6.5
2022/05/20 (金),〇,〇,南 4.8
2022/05/21 (土),,,北東 9.6
2022/05/22 (日),,,北東 7.3
2022/05/23 (月),〇,,西 5.7
2022/05/24 (火),〇,〇,北東 6.1
2022/05/25 (水),〇,〇,東 5.7
2022/05/26 (木),,,南西 4.5
2022/05/27 (金),×,×,南 9.4
2022/05/28 (土),〇,〇,西 6.3
2022/05/29 (日),,,西 5.5
2022/05/30 (月),〇,〇,南西 4.9
2022/05/31 (火),〇,〇,北東 7.8
2022/06/01 (水),,,北東 6.6
2022/06/02 (木),,,南南東 5.5
2022/06/03 (金),〇,〇,南西 5.6
2022/06/04 (土),〇,〇,北東 9.7
2022/06/05 (日),,,南南東 5.9
2022/06/06 (月),×,×,南南東 16.7
2022/06/07 (火),×,×,西 7.1
2022/06/08 (水),〇,,西南西 5.3
2022/06/09 (木),,,北東 5.5
2022/06/10 (金),〇,〇,北東 6.9
2022/06/11 (土),〇,〇,東 12.2
2022/06/12 (日),,,北東 11.8
2022/06/13 (月),〇,〇,南南西 4.0
2022/06/14 (火),,,東北東 15.6
2022/06/15 (水),,,南東 9.6
2022/06/16 (木),,,西南西 5.2
2022/06/17 (金),,,南南西 5.4
2022/06/18 (土),〇,〇,南 12.6
2022/06/19 (日),,,東 5.1
2022/06/20 (月),〇,,南南西 7.8
2022/06/21 (火),〇,〇,南南西 6.8
2022/06/22 (水),〇,〇,南南西 7.6
2022/06/23 (木),,,南南西 5.5
2022/06/24 (金),〇,〇,南南西 7.6
2022/06/25 (土),〇,〇,南南西 6.8
2022/06/26 (日),,,南南西 5.1
2022/06/27 (月),〇,〇,南南西 5.3
2022/06/28 (火),〇,〇,南西 5.1
2022/06/29 (水),,,南西 5.4
2022/06/30 (木),,,南西 6.1
2022/07/01 (金),〇,〇,西南西 4.6
2022/07/02 (土),〇,〇,
2022/07/03 (日),,,
2022/07/04 (月),〇,〇,東 5.9
2022/07/05 (火),,,南 12.3
2022/07/06 (水),×,×,西 10.3
2022/07/07 (木),,,北東 8.8
2022/07/08 (金),〇,〇,北東 8.1
2022/07/09 (土),〇,〇,南 5.1
2022/07/10 (日),,,南南東 5.9
2022/07/11 (月),〇,〇,北東 4.5
2022/07/12 (火),〇,〇,西南西 4.5
2022/07/13 (水),,,西南西 4.6
2022/07/14 (木),,,北北東 4.7
2022/07/15 (金),〇,〇,南南東 6.2
2022/07/16 (土),,,南南東 9.9
2022/07/17 (日),,,南南東 10.1
2022/07/18 (月),×,×,南南西 6.0
2022/07/19 (火),〇,〇,南南西 7.5
2022/07/20 (水),×,×,南西 7.9
2022/07/21 (木),,,南南東 5.0
2022/07/22 (金),〇,〇,南南西 5.9
2022/07/23 (土),〇,〇,西南西 5.2
2022/07/24 (日),,,南 6.3
2022/07/25 (月),×,×,南南東 7.8
2022/07/26 (火),,,南 8.1
2022/07/27 (水),,,南南東 5.8
2022/07/28 (木),,,南南東 4.4
2022/07/29 (金),〇,〇,南南東 6.5
2022/07/30 (土),×,×,南南東 5.8
2022/07/31 (日),,,南西 4.5
2022/08/01 (月),〇,〇,南西 4.5
2022/08/02 (火),〇,〇,西南西 6.0
2022/08/03 (水),〇,〇,西南西 6.9
2022/08/04 (木),,,西 6.6
2022/08/05 (金),〇,〇,西 6.1
2022/08/06 (土),〇,〇,東北東 4.9
2022/08/07 (日),,,南 4.6
2022/08/08 (月),〇,〇,南 5.2
2022/08/09 (火),〇,〇,南南西 5.1
2022/08/10 (水),,,南 5.8
2022/08/11 (木),,,南南東 7.9
2022/08/12 (金),×,×,南南西 8.4
2022/08/13 (土),×,×,南 9.5
2022/08/14 (日),,,西 7.0
2022/08/15 (月),〇,〇,西南西 6.1
2022/08/16 (火),〇,〇,西南西 6.7
2022/08/17 (水),×,×,西南西 6.8
2022/08/18 (木),,,西 9.4
2022/08/19 (金),〇,〇,西 6.0
2022/08/20 (土),〇,〇,西南西 5.0
2022/08/21 (日),,,西南西 4.3
2022/08/22 (月),〇,〇,北東 4.9
2022/08/23 (火),,,南南東 6.0
2022/08/24 (水),,,西南西 4.1
2022/08/25 (木),,,南西 3.8
2022/08/26 (金),〇,〇,南南東 5.9
2022/08/27 (土),〇,〇,南 5.0
2022/08/28 (日),,,北東 9.1
2022/08/29 (月),〇,〇,北東 9.9
2022/08/30 (火),,,東 7.5
2022/08/31 (水),×,×,南 5.5
2022/09/01 (木),,,南 5.0
2022/09/02 (金),〇,〇,南南東 4.6
2022/09/03 (土),〇,〇,東 5.2
2022/09/04 (日),,,北東 6.3
2022/09/05 (月),×,×,東北東 6.1
2022/09/06 (火),×,×,南南西 4.6
2022/09/07 (水),,,東北東 4.2
2022/09/08 (木),,,北東 8.8
2022/09/09 (金),〇,〇,北東 7.0
2022/09/10 (土),〇,〇,北東 9.2
2022/09/11 (日),,,北東 9.8
2022/09/12 (月),〇,〇,北東 7.2
2022/09/13 (火),〇,〇,東 6.1
2022/09/14 (水),,,東北東 8.2
2022/09/15 (木),,,北東 12.4
2022/09/16 (金),×,×,東北東 9.4
2022/09/17 (土),×,×,東 11.2
2022/09/18 (日),×,×,東 7.2
2022/09/19 (月),×,×,南 8.1
2022/09/20 (火),×,×,南西 8.2
2022/09/21 (水),×,×,北東 10.8
2022/09/22 (木),,,北東 12.1
2022/09/23 (金),×,×,南 8.6
2022/09/24 (土),×,×,南 7.1
2022/09/25 (日),〇,,北東 7.2
2022/09/26 (月),〇,〇,北東 5.9
2022/09/27 (火),〇,〇,北東 11.2
2022/09/28 (水),×,×,北東 9.4
2022/09/29 (木),,,南東 6.3
2022/09/30 (金),〇,〇,東北東 8.8
2022/10/01 (土),×,×,北北東 8.3
2022/10/02 (日),,,北東 8.2
2022/10/03 (月),〇,〇,東北東 6.7
2022/10/04 (火),〇,〇,西 4.7
2022/10/05 (水),,,西 5.6
2022/10/06 (木),,,北東 12.7
2022/10/07 (金),×,×,東 9.7
2022/10/08 (土),〇,〇,東北東 9.9
2022/10/09 (日),,,東北東 12.1
